time/s	Ewe/V	<I>/mA	cycle number
2.177520744991198E+003	-6.8586737E-001	-5.970914952704554E-001	2.000000000000000E+000
2.177587344989515E+003	-6.8561155E-001	-5.964254036410699E-001	2.000000000000000E+000
2.177653944987833E+003	-6.8537104E-001	-5.960064440335398E-001	2.000000000000000E+000
2.177720744986145E+003	-6.8522596E-001	-5.956261635544795E-001	2.000000000000000E+000
2.177787344984463E+003	-6.8492818E-001	-5.953980662671461E-001	2.000000000000000E+000
2.177853944982780E+003	-6.8442804E-001	-5.951302044341211E-001	2.000000000000000E+000
2.177920744981093E+003	-6.8414551E-001	-5.946447628449256E-001	2.000000000000000E+000
2.177987344979410E+003	-6.8364924E-001	-5.938828450675464E-001	2.000000000000000E+000
2.178053944977728E+003	-6.8336672E-001	-5.931793276636999E-001	2.000000000000000E+000
2.178120744976040E+003	-6.8309945E-001	-5.929508676011883E-001	2.000000000000000E+000
2.178187344974358E+003	-6.8287039E-001	-5.926912907747344E-001	2.000000000000000E+000
2.178253944972676E+003	-6.8250769E-001	-5.925686193737025E-001	2.000000000000000E+000
2.178320744970988E+003	-6.8214118E-001	-5.924710038914738E-001	2.000000000000000E+000
2.178387344969306E+003	-6.8184721E-001	-5.919836667729292E-001	2.000000000000000E+000
2.178453944967623E+003	-6.8148452E-001	-5.915353226157474E-001	2.000000000000000E+000
2.178520744965936E+003	-6.8117905E-001	-5.911454522466086E-001	2.000000000000000E+000
2.178587344964253E+003	-6.8069047E-001	-5.906157589030778E-001	2.000000000000000E+000
2.178653944962571E+003	-6.8041939E-001	-5.901933813023064E-001	2.000000000000000E+000
2.178720544960888E+003	-6.8017119E-001	-5.900075597705445E-001	2.000000000000000E+000
2.178787344959201E+003	-6.7970544E-001	-5.895697664783661E-001	2.000000000000000E+000
2.178853944957518E+003	-6.7937326E-001	-5.891123334806858E-001	2.000000000000000E+000
2.178920544955836E+003	-6.7892277E-001	-5.889350089421805E-001	2.000000000000000E+000
2.178987344954148E+003	-6.7860973E-001	-5.888324602540713E-001	2.000000000000000E+000
2.179053944952466E+003	-6.7820501E-001	-5.888294696447716E-001	2.000000000000000E+000
2.179120544950783E+003	-6.7788053E-001	-5.889792996951102E-001	2.000000000000000E+000
2.179187344949096E+003	-6.7761713E-001	-5.885779924062362E-001	2.000000000000000E+000
2.179253944947413E+003	-6.7727351E-001	-5.877956265409194E-001	2.000000000000000E+000
2.179320544945731E+003	-6.7710549E-001	-5.872943188848829E-001	2.000000000000000E+000
2.179387344944043E+003	-6.7699480E-001	-5.871382580105085E-001	2.000000000000000E+000
