time/s	Ewe/V	<I>/mA	cycle number
1.871439952723449E+002	-3.6354804E-001	-2.909151155978730E-003	1.000000000000000E+000
1.878105952555052E+002	-3.6686283E-001	-2.925411859874751E-003	1.000000000000000E+000
1.884771952386654E+002	-3.7018779E-001	-2.938065663992981E-003	1.000000000000000E+000
1.891437952218257E+002	-3.7351114E-001	-2.949801678333162E-003	1.000000000000000E+000
1.898438952041397E+002	-3.7704894E-001	-2.959024555520107E-003	1.000000000000000E+000
1.906103951847763E+002	-3.8082832E-001	-2.879056108278946E-003	1.000000000000000E+000
1.913437951662490E+002	-3.8452828E-001	-2.993745352566662E-003	1.000000000000000E+000
1.920103951494093E+002	-3.8790959E-001	-3.004173192424811E-003	1.000000000000000E+000
1.926769951325696E+002	-3.9123335E-001	-3.018384857067884E-003	1.000000000000000E+000
1.933768951148886E+002	-3.9469746E-001	-2.981894258775805E-003	1.000000000000000E+000
1.940768950972051E+002	-3.9824724E-001	-3.042805849547671E-003	1.000000000000000E+000
1.947434950803654E+002	-4.0157402E-001	-3.058780527409717E-003	1.000000000000000E+000
1.954101950635231E+002	-4.0495661E-001	-3.071500245741697E-003	1.000000000000000E+000
1.960767950466834E+002	-4.0826774E-001	-3.089441309342106E-003	1.000000000000000E+000
1.967433950298437E+002	-4.1151336E-001	-3.103278291401858E-003	1.000000000000000E+000
1.974099950130039E+002	-4.1483450E-001	-3.109692272350938E-003	1.000000000000000E+000
1.980765949961642E+002	-4.1819754E-001	-3.127168575709834E-003	1.000000000000000E+000
1.987431949793245E+002	-4.2150357E-001	-3.063854751358786E-003	1.000000000000000E+000
1.994098949624822E+002	-4.2484370E-001	-3.159456832705972E-003	1.000000000000000E+000
2.000765949456400E+002	-4.2821693E-001	-3.174676413424678E-003	1.000000000000000E+000
2.007431949288002E+002	-4.3153346E-001	-3.189173724374019E-003	1.000000000000000E+000
2.014097949119605E+002	-4.3484369E-001	-3.211456137033658E-003	1.000000000000000E+000
2.020763948951208E+002	-4.3816704E-001	-3.228071908998202E-003	1.000000000000000E+000
2.027429948782810E+002	-4.4150078E-001	-3.242288861948578E-003	1.000000000000000E+000
2.034095948614413E+002	-4.4483557E-001	-3.261889285840976E-003	1.000000000000000E+000
2.040762948445990E+002	-4.4817054E-001	-3.286591152162878E-003	1.000000000000000E+000
2.047428948277593E+002	-4.5151457E-001	-3.289173990457042E-003	1.000000000000000E+000
2.054095948109170E+002	-4.5482019E-001	-3.323778867398361E-003	1.000000000000000E+000
2.060761947940773E+002	-4.5816782E-001	-3.330777339999653E-003	1.000000000000000E+000
2.067427947772376E+002	-4.6152943E-001	-3.344133317987510E-003	1.000000000000000E+000
2.074093947603978E+002	-4.6483228E-001	-3.367034292338519E-003	1.000000000000000E+000
2.080759947435581E+002	-4.6817118E-001	-3.379561254065129E-003	1.000000000000000E+000
2.087425947267184E+002	-4.7150472E-001	-3.394782670856460E-003	1.000000000000000E+000
2.094092947098761E+002	-4.7490060E-001	-3.410589569015479E-003	1.000000000000000E+000
2.100759946930339E+002	-4.7818902E-001	-3.422516559101765E-003	1.000000000000000E+000
2.107425946761941E+002	-4.8157409E-001	-3.432969403999675E-003	1.000000000000000E+000
2.114091946593544E+002	-4.8480347E-001	-3.442410290381150E-003	1.000000000000000E+000
2.120757946425147E+002	-4.8821494E-001	-3.458086457484230E-003	1.000000000000000E+000
2.127423946256749E+002	-4.9150559E-001	-3.470081195395765E-003	1.000000000000000E+000
2.134089946088352E+002	-4.9485543E-001	-3.477369925326490E-003	1.000000000000000E+000
2.140756945919929E+002	-4.9816361E-001	-3.494022913808015E-003	1.000000000000000E+000
2.147422945751532E+002	-5.0156367E-001	-3.500743015890040E-003	1.000000000000000E+000
2.154089945583110E+002	-5.0488710E-001	-3.518607869773621E-003	1.000000000000000E+000
2.160755945414712E+002	-5.0821412E-001	-3.532566973617320E-003	1.000000000000000E+000
2.167754945237903E+002	-5.1172590E-001	-3.529680105948785E-003	1.000000000000000E+000
2.175088945052630E+002	-5.1539034E-001	-3.466262314651997E-003	1.000000000000000E+000
2.182753944858996E+002	-5.1919329E-001	-3.561912506766671E-003	1.000000000000000E+000
2.189419944690599E+002	-5.2249730E-001	-3.592924597139072E-003	1.000000000000000E+000
2.196086944522176E+002	-5.2586675E-001	-3.607181954713212E-003	1.000000000000000E+000
2.203086944345341E+002	-5.2930486E-001	-3.596626072360921E-003	1.000000000000000E+000
2.210085944168532E+002	-5.3283811E-001	-3.625830841447613E-003	1.000000000000000E+000
2.216751944000134E+002	-5.3618675E-001	-3.659347191125747E-003	1.000000000000000E+000
2.223417943831737E+002	-5.3949583E-001	-3.675422286503860E-003	1.000000000000000E+000
2.230084943663314E+002	-5.4284376E-001	-3.689243484397571E-003	1.000000000000000E+000
2.236750943494917E+002	-5.4614806E-001	-3.711070204728061E-003	1.000000000000000E+000
2.243417943326494E+002	-5.4947889E-001	-3.730582599743612E-003	1.000000000000000E+000
2.250083943158097E+002	-5.5284059E-001	-3.719757699031961E-003	1.000000000000000E+000
2.257415942972875E+002	-5.5654806E-001	-3.687546566571378E-003	1.000000000000000E+000
